===k = 4.237===
  N  , vB,v,vA,col,|p
022-2, -0.085,-61.673,38.242,B,|vA(38.241967) * 4.237000m + vB(-0.084508) * 4.237000m + v(-61.673151) * m = 100.000000m
023-1, -0.085,100.000,0.085,A,|vA(0.084580) * 4.237000m + vB(-0.084508) * 4.237000m + v(99.999697) * m = 100.000000m
023-2, 38.137,-61.947,0.085,B,|vA(0.084580) * 4.237000m + vB(38.137453) * 4.237000m + v(-61.946752) * m = 100.000000m
024-1, 38.137,38.426,-23.605,A,|vA(-23.605064) * 4.237000m + vB(38.137453) * 4.237000m + v(38.426268) * m = 100.000000m
024-2, 38.248,37.959,-23.605,B,|vA(-23.605064) * 4.237000m + vB(38.247751) * 4.237000m + v(37.958936) * m = 100.000000m
025-1, 38.248,-61.658,-0.094,A,|vA(-0.093894) * 4.237000m + vB(38.247751) * 4.237000m + v(-61.657893) * m = 100.000000m
025-2, 0.094,100.000,-0.094,B,|vA(-0.093894) * 4.237000m + vB(0.093982) * 4.237000m + v(99.999626) * m = 100.000000m
026-1, 0.094,-61.962,38.132,A,|vA(38.131625) * 4.237000m + vB(0.093982) * 4.237000m + v(-61.961895) * m = 100.000000m
026-2, -23.605,38.451,38.132,B,|vA(38.131625) * 4.237000m + vB(-23.605035) * 4.237000m + v(38.450841) * m = 100.000000m
027-1, -23.605,37.934,38.254,A,|vA(38.253533) * 4.237000m + vB(-23.605035) * 4.237000m + v(37.934316) * m = 100.000000m
027-2, -0.103,-61.643,38.254,B,|vA(38.253533) * 4.237000m + vB(-0.103278) * 4.237000m + v(-61.642630) * m = 100.000000m
028-1, -0.103,100.000,0.103,A,|vA(0.103385) * 4.237000m + vB(-0.103278) * 4.237000m + v(99.999548) * m = 100.000000m
028-2, 38.126,-61.977,0.103,B,|vA(0.103385) * 4.237000m + vB(38.125794) * 4.237000m + v(-61.977031) * m = 100.000000m
029-1, 38.126,38.475,-23.605,A,|vA(-23.605004) * 4.237000m + vB(38.125794) * 4.237000m + v(38.475412) * m = 100.000000m
029-2, 38.259,37.910,-23.605,B,|vA(-23.605004) * 4.237000m + vB(38.259313) * 4.237000m + v(37.909695) * m = 100.000000m
030-1, 38.259,-61.627,-0.113,A,|vA(-0.112662) * 4.237000m + vB(38.259313) * 4.237000m + v(-61.627360) * m = 100.000000m
030-2, 0.113,99.999,-0.113,B,|vA(-0.112662) * 4.237000m + vB(0.112789) * 4.237000m + v(99.999462) * m = 100.000000m
031-1, 0.113,-61.992,38.120,A,|vA(38.119961) * 4.237000m + vB(0.112789) * 4.237000m + v(-61.992162) * m = 100.000000m
031-2, -23.605,38.500,38.120,B,|vA(38.119961) * 4.237000m + vB(-23.604970) * 4.237000m + v(38.499981) * m = 100.000000m
032-1, -23.605,37.885,38.265,A,|vA(38.265090) * 4.237000m + vB(-23.604970) * 4.237000m + v(37.885071) * m = 100.000000m
032-2, -0.122,-61.612,38.265,B,|vA(38.265090) * 4.237000m + vB(-0.122044) * 4.237000m + v(-61.612085) * m = 100.000000m
033-1, -0.122,99.999,0.122,A,|vA(0.122193) * 4.237000m + vB(-0.122044) * 4.237000m + v(99.999368) * m = 100.000000m
033-2, 38.114,-62.007,0.122,B,|vA(0.122193) * 4.237000m + vB(38.114126) * 4.237000m + v(-62.007286) * m = 100.000000m
034-1, 38.114,38.525,-23.605,A,|vA(-23.604933) * 4.237000m + vB(38.114126) * 4.237000m + v(38.524547) * m = 100.000000m
034-2, 38.271,37.860,-23.605,B,|vA(-23.604933) * 4.237000m + vB(38.270865) * 4.237000m + v(37.860444) * m = 100.000000m
035-1, 38.271,-61.597,-0.131,A,|vA(-0.131426) * 4.237000m + vB(38.270865) * 4.237000m + v(-61.596803) * m = 100.000000m
035-2, 0.132,99.999,-0.131,B,|vA(-0.131426) * 4.237000m + vB(0.131599) * 4.237000m + v(99.999267) * m = 100.000000m
036-1, 0.132,-62.022,38.108,A,|vA(38.108289) * 4.237000m + vB(0.131599) * 4.237000m + v(-62.022405) * m = 100.000000m
036-2, -23.605,38.549,38.108,B,|vA(38.108289) * 4.237000m + vB(-23.604893) * 4.237000m + v(38.549111) * m = 100.000000m
037-1, -23.605,37.836,38.277,A,|vA(38.276638) * 4.237000m + vB(-23.604893) * 4.237000m + v(37.835816) * m = 100.000000m
037-2, -0.141,-61.582,38.277,B,|vA(38.276638) * 4.237000m + vB(-0.140807) * 4.237000m + v(-61.581515) * m = 100.000000m
038-1, -0.141,99.999,0.141,A,|vA(0.141006) * 4.237000m + vB(-0.140807) * 4.237000m + v(99.999159) * m = 100.000000m
038-2, 38.102,-62.038,0.141,B,|vA(0.141006) * 4.237000m + vB(38.102449) * 4.237000m + v(-62.037517) * m = 100.000000m
039-1, 38.102,38.574,-23.605,A,|vA(-23.604850) * 4.237000m + vB(38.102449) * 4.237000m + v(38.573673) * m = 100.000000m
039-2, 38.282,37.811,-23.605,B,|vA(-23.604850) * 4.237000m + vB(38.282408) * 4.237000m + v(37.811185) * m = 100.000000m
040-1, 38.282,-61.566,-0.150,A,|vA(-0.150187) * 4.237000m + vB(38.282408) * 4.237000m + v(-61.566222) * m = 100.000000m
040-2, 0.150,99.999,-0.150,B,|vA(-0.150187) * 4.237000m + vB(0.150413) * 4.237000m + v(99.999043) * m = 100.000000m
041-1, 0.150,-62.053,38.097,A,|vA(38.096607) * 4.237000m + vB(0.150413) * 4.237000m + v(-62.052623) * m = 100.000000m
041-2, -23.605,38.598,38.097,B,|vA(38.096607) * 4.237000m + vB(-23.604804) * 4.237000m + v(38.598232) * m = 100.000000m
042-1, -23.605,37.787,38.288,A,|vA(38.288176) * 4.237000m + vB(-23.604804) * 4.237000m + v(37.786552) * m = 100.000000m
042-2, -0.160,-61.551,38.288,B,|vA(38.288176) * 4.237000m + vB(-0.159566) * 4.237000m + v(-61.550922) * m = 100.000000m
043-1, -0.160,99.999,0.160,A,|vA(0.159821) * 4.237000m + vB(-0.159566) * 4.237000m + v(99.998919) * m = 100.000000m
043-2, 38.091,-62.068,0.160,B,|vA(0.159821) * 4.237000m + vB(38.090763) * 4.237000m + v(-62.067723) * m = 100.000000m
044-1, 38.091,38.623,-23.605,A,|vA(-23.604756) * 4.237000m + vB(38.090763) * 4.237000m + v(38.622789) * m = 100.000000m
044-2, 38.294,37.762,-23.605,B,|vA(-23.604756) * 4.237000m + vB(38.293942) * 4.237000m + v(37.761916) * m = 100.000000m
045-1, 38.294,-61.536,-0.169,A,|vA(-0.168944) * 4.237000m + vB(38.293942) * 4.237000m + v(-61.535616) * m = 100.000000m
045-2, 0.169,99.999,-0.169,B,|vA(-0.168944) * 4.237000m + vB(0.169230) * 4.237000m + v(99.998789) * m = 100.000000m
046-1, 0.169,-62.083,38.085,A,|vA(38.084916) * 4.237000m + vB(0.169230) * 4.237000m + v(-62.082817) * m = 100.000000m
046-2, -23.605,38.647,38.085,B,|vA(38.084916) * 4.237000m + vB(-23.604704) * 4.237000m + v(38.647343) * m = 100.000000m
