===k = 2.000===
===k = 2.011===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.011000m + vB(0.000000) * 2.011000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3357.688,6642.312,A,|vA(6642.311524) * 2.011000m + vB(0.000000) * 2.011000m + v(-3357.688476) * m = 10000.000000m
001-2, -2230.281,1127.407,6642.312,B,|vA(6642.311524) * 2.011000m + vB(-2230.281286) * 2.011000m + v(1127.407190) * m = 10000.000000m
===2===
===k = 2.012===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.012000m + vB(0.000000) * 2.012000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3359.894,6640.106,A,|vA(6640.106242) * 2.012000m + vB(0.000000) * 2.012000m + v(-3359.893758) * m = 10000.000000m
001-2, -2231.005,1128.889,6640.106,B,|vA(6640.106242) * 2.012000m + vB(-2231.005152) * 2.012000m + v(1128.888607) * m = 10000.000000m
===2===
===k = 2.013===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.013000m + vB(0.000000) * 2.013000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3362.098,6637.902,A,|vA(6637.902423) * 2.013000m + vB(0.000000) * 2.013000m + v(-3362.097577) * m = 10000.000000m
001-2, -2231.728,1130.370,6637.902,B,|vA(6637.902423) * 2.013000m + vB(-2231.727565) * 2.013000m + v(1130.370012) * m = 10000.000000m
===2===
===k = 2.014===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.014000m + vB(0.000000) * 2.014000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3364.300,6635.700,A,|vA(6635.700066) * 2.014000m + vB(0.000000) * 2.014000m + v(-3364.299934) * m = 10000.000000m
001-2, -2232.449,1131.851,6635.700,B,|vA(6635.700066) * 2.014000m + vB(-2232.448529) * 2.014000m + v(1131.851404) * m = 10000.000000m
===2===
===k = 2.015===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.015000m + vB(0.000000) * 2.015000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3366.501,6633.499,A,|vA(6633.499171) * 2.015000m + vB(0.000000) * 2.015000m + v(-3366.500829) * m = 10000.000000m
